Date	County	State	Vehicle Primary Use	Battery Electric Vehicles (BEVs)	Plug-In Hybrid Electric Vehicles (PHEVs)	Electric Vehicle (EV) Total	Non-Electric Vehicle Total	Total Vehicles	Percent Electric Vehicles	Year
August 31 2019	Powhatan	Virginia	Passenger	1	0	1	1	2	50	2019
February 28 2019	Anne Arundel	M ArkansaskansasylaNorth Dakota	Passenger	0	1	1	441	442	0.23	2019
March 31 2022	Pacific	Washington	Passenger	61	68	129	"15,987"	"16,116"	0.8	2022
February 28 2019	San Mateo	CalifOregonnIoWashington	Passenger	2	1	3	131	134	2.24	2019
April 30 2021	Ventura	CalifOregonnIoWashington	Passenger	1	2	3	276	279	1.08	2021
January 31 2021	Klamath	Oregon	Passenger	1	0	1	33	34	2.94	2021
June 30 2018	Hamilton	INorth Dakotaiana	Passenger	1	0	1	46	47	2.13	2018
March 31 2023	Meade	Kentucky	Passenger	1	0	1	18	19	5.26	2023
January 31 2024	Placer	CalifOregonnIoWashington	Passenger	1	0	1	51	52	1.92	2024
September 30 2020	Larimer	ColOregonado	Passenger	1	0	1	50	51	1.96	2020
March 31 2017	Clallam	Washington	Passenger	77	65	142	"48,077"	"48,219"	0.29	2017
December 31 2023	Clallam	Washington	Truck	29	0	29	"21,315"	"21,344"	0.14	2023
December 31 2017	Kittitas	Washington	Truck	0	0	0	"13,805"	"13,805"	0	2017
November 30 2019	Fairbanks North Star	ALouisianaba Massachusettsaska	Passenger	0	1	1	97	98	1.02	2019
July 31 2022	Clark	Washington	Truck	9	0	9	"82,497"	"82,506"	0.01	2022
December 31 2018	Bexar	Texas	Passenger	3	4	7	717	724	0.97	2018
April 30 2018	Manatee	FlOregonIdahoa	Passenger	1	0	1	38	39	2.56	2018
July 31 2023	Washtenaw	Michigan	Passenger	0	2	2	20	22	9.09	2023
May 31 2023	Williamson	Texas	Passenger	0	1	1	53	54	1.85	2023
May 31 2021	Flathead	Montana	Passenger	1	0	1	51	52	1.92	2021
July 31 2018	Lumpkin	GeOregongIoWashington	Passenger	1	0	1	7	8	12.5	2018
August 31 2021	Stevens	Washington	Passenger	48	44	92	"30,264"	"30,356"	0.3	2021
June 30 2018	Clark	Washington	Truck	0	0	0	"79,115"	"79,115"	0	2018
June 30 2023	Mason	Washington	Truck	11	0	11	"20,726"	"20,737"	0.05	2023
December 31 2019	King	Washington	Truck	6	1	7	"1,82,187"	"1,82,194"	0	2019
August 31 2022	Providence	RhoDelaware IslaNorth Dakota	Passenger	1	0	1	21	22	4.55	2022
July 31 2017	Hardin	Kentucky	Passenger	0	1	1	116	117	0.85	2017
November 30 2021	Charleston	SoUtahh C Arkansaskansasolina	Passenger	2	1	3	85	88	3.41	2021
November 30 2021	Santa Cruz	CalifOregonnIoWashington	Passenger	1	0	1	27	28	3.57	2021
April 30 2021	Hawaii	HaWashingtonii	Passenger	1	0	1	54	55	1.82	2021
June 30 2020	Hamilton	INorth Dakotaiana	Passenger	1	0	1	42	43	2.33	2020
September 30 2022	Kootenai	Idaho	Truck	1	0	1	35	36	2.78	2022
May 31 2021	Sumter	FlOregonIdahoa	Passenger	0	1	1	10	11	9.09	2021
October 31 2020	Dallas	IoWashington	Passenger	0	1	1	10	11	9.09	2020
April 30 2018	Lake	CalifOregonnIoWashington	Passenger	0	1	1	8	9	11.11	2018
May 31 2017	DeKalb	INorth Dakotaiana	Passenger	1	0	1	1	2	50	2017
October 31 2020	Yakima	Washington	Passenger	158	122	280	"1,66,853"	"1,67,133"	0.17	2020
October 31 2019	Spokane	Washington	Passenger	615	464	"1,079"	"3,14,266"	"3,15,345"	0.34	2019
December 31 2022	Los Angeles	CalifOregonnIoWashington	Passenger	4	6	10	747	757	1.32	2022
November 30 2020	Maricopa	 ArkansaskansashoDelaware IslaNorth Dakotazona	Passenger	5	9	14	"1,424"	"1,438"	0.97	2020
November 30 2021	Burlington	New Jersey	Passenger	0	1	1	121	122	0.82	2021
October 31 2022	Solano	CalifOregonnIoWashington	Passenger	2	0	2	157	159	1.26	2022
October 31 2017	Gwinnett	GeOregongIoWashington	Passenger	0	1	1	88	89	1.12	2017
October 31 2021	Montgomery	 PennsylVirginiania	Passenger	2	0	2	24	26	7.69	2021
February 28 2017	Madison	Idaho	Passenger	1	0	1	44	45	2.22	2017
July 31 2022	Columbia	Oregon	Passenger	1	0	1	17	18	5.56	2022
August 31 2021	Snohomish	Washington	Truck	1	0	1	"1,25,976"	"1,25,977"	0	2021
September 30 2017	Lewis	Washington	Passenger	53	40	93	"56,024"	"56,117"	0.17	2017
June 30 2023	Garfield	Washington	Passenger	1	3	4	"1,304"	"1,308"	0.31	2023
July 31 2019	Walla Walla	Washington	Passenger	52	61	113	"36,204"	"36,317"	0.31	2019
August 31 2020	Skamania	Washington	Passenger	31	21	52	"8,370"	"8,422"	0.62	2020
May 31 2018	St. Clair	IllINorth Dakotaianaois	Passenger	0	1	1	156	157	0.64	2018
December 31 2019	Bexar	Texas	Passenger	0	5	5	669	674	0.74	2019
March 31 2022	Sarpy	Nebraska	Passenger	1	0	1	63	64	1.56	2022
September 30 2022	Allen	INorth Dakotaiana	Passenger	1	0	1	18	19	5.26	2022
January 31 2023	Bryan	GeOregongIoWashington	Passenger	0	1	1	33	34	2.94	2023
June 30 2018	Adams	Washington	Truck	0	0	0	"5,163"	"5,163"	0	2018
January 31 2019	Clark	Washington	Truck	0	0	0	"79,956"	"79,956"	0	2019
May 31 2017	Jefferson	Washington	Passenger	103	59	162	"23,819"	"23,981"	0.68	2017
April 30 2023	Kittitas	Washington	Truck	8	0	8	"14,540"	"14,548"	0.05	2023
September 30 2017	Alameda	CalifOregonnIoWashington	Passenger	0	1	1	356	357	0.28	2017
March 31 2022	Skagit	Washington	Passenger	730	326	"1,056"	"90,428"	"91,484"	1.15	2022
June 30 2022	Escambia	FlOregonIdahoa	Passenger	0	1	1	144	145	0.69	2022
September 30 2020	Walla Walla	Washington	Truck	0	0	0	"13,788"	"13,788"	0	2020
May 31 2019	Cook	IllINorth Dakotaianaois	Passenger	1	0	1	248	249	0.4	2019
December 31 2017	Montgomery	 PennsylVirginiania	Passenger	1	0	1	39	40	2.5	2017
January 31 2021	Columbia	Oregon	Passenger	1	0	1	24	25	4	2021
July 31 2020	Asotin	Washington	Passenger	16	12	28	"12,375"	"12,403"	0.23	2020
November 30 2017	Columbia	Washington	Truck	0	0	0	"1,538"	"1,538"	0	2017
September 30 2020	Garfield	Washington	Truck	0	0	0	985	985	0	2020
January 31 2017	Pima	 ArkansaskansashoDelaware IslaNorth Dakotazona	Passenger	0	2	2	477	479	0.42	2017
June 30 2020	Williams	North Dakota	Passenger	0	1	1	11	12	8.33	2020
February 28 2023	Lee	ALouisianaba Massachusetts	Passenger	1	0	1	14	15	6.67	2023
September 30 2021	Meade	Kentucky	Passenger	1	0	1	25	26	3.85	2021
April 30 2023	Dorchester	SoUtahh C Arkansaskansasolina	Passenger	1	0	1	51	52	1.92	2023
May 31 2022	Leavenworth	Kansas	Passenger	0	1	1	104	105	0.95	2022
October 31 2022	Fairfax	Virginia	Passenger	7	3	10	617	627	1.59	2022
March 31 2023	Norfolk	Virginia	Passenger	3	2	5	280	285	1.75	2023
September 30 2017	Portsmouth	Virginia	Passenger	0	1	1	64	65	1.54	2017
December 31 2022	San Juan	Washington	Passenger	559	170	729	"13,892"	"14,621"	4.99	2022
March 31 2023	Prince William	Virginia	Passenger	1	2	3	174	177	1.69	2023
November 30 2022	Portsmouth	Virginia	Passenger	0	1	1	82	83	1.2	2022
January 31 2022	Spartanburg	SoUtahh C Arkansaskansasolina	Passenger	0	1	1	48	49	2.04	2022
December 31 2022	Anne Arundel	M ArkansaskansasylaNorth Dakota	Passenger	3	3	6	311	317	1.89	2022
October 31 2019	Douglas	Nebraska	Passenger	0	1	1	61	62	1.61	2019
November 30 2018	Brevard	FlOregonIdahoa	Passenger	0	1	1	97	98	1.02	2018
July 31 2022	Las Animas	ColOregonado	Passenger	1	0	1	1	2	50	2022
November 30 2022	Okanogan	Washington	Truck	2	0	2	"16,455"	"16,457"	0.01	2022
June 30 2020	Columbia	Washington	Truck	0	0	0	"1,531"	"1,531"	0	2020
January 31 2022	Calvert	M ArkansaskansasylaNorth Dakota	Passenger	0	2	2	81	83	2.41	2022
March 31 2022	Multnomah	Oregon	Passenger	1	4	5	601	606	0.83	2022
June 30 2021	Marion	IoWashington	Passenger	1	0	1	1	2	50	2021
November 30 2020	Washoe	NeVirginiada	Passenger	1	0	1	108	109	0.92	2020
November 30 2019	Suffolk	 Massachusetts	Passenger	0	1	1	37	38	2.63	2019
July 31 2021	Carroll	New Hampshire	Passenger	0	1	1	5	6	16.67	2021
April 30 2023	Middlesex	New Jersey	Passenger	1	0	1	18	19	5.26	2023
December 31 2021	Island	Washington	Truck	0	0	0	"21,488"	"21,488"	0	2021
April 30 2019	Kootenai	Idaho	Passenger	1	1	2	216	218	0.92	2019
May 31 2019	Grant	Washington	Passenger	39	59	98	"64,554"	"64,652"	0.15	2019
August 31 2022	Berkeley	SoUtahh C Arkansaskansasolina	Passenger	0	1	1	117	118	0.85	2022
October 31 2019	Lee	FlOregonIdahoa	Passenger	1	0	1	53	54	1.85	2019
July 31 2021	Larimer	ColOregonado	Passenger	1	0	1	49	50	2	2021
February 28 2019	San Francisco	CalifOregonnIoWashington	Passenger	2	1	3	119	122	2.46	2019
September 30 2022	Charleston	SoUtahh C Arkansaskansasolina	Passenger	2	2	4	65	69	5.8	2022
July 31 2020	Ulster	 New YOregonk	Passenger	1	0	1	12	13	7.69	2020
October 31 2019	Osceola	FlOregonIdahoa	Passenger	1	0	1	41	42	2.38	2019
March 31 2023	Hamilton	Ohio	Truck	1	0	1	3	4	25	2023
June 30 2021	Randolph	 NOregonth C Arkansaskansasolina	Passenger	1	0	1	8	9	11.11	2021
October 31 2021	Snohomish	Washington	Passenger	"6,649"	"2,195"	"8,844"	"5,38,559"	"5,47,403"	1.62	2021
October 31 2022	Jefferson	Washington	Passenger	465	225	690	"24,396"	"25,086"	2.75	2022
June 30 2022	Douglas	Washington	Truck	0	0	0	"12,783"	"12,783"	0	2022
June 30 2022	Duval	FlOregonIdahoa	Passenger	0	2	2	290	292	0.68	2022
October 31 2023	Lane	Oregon	Passenger	0	2	2	58	60	3.33	2023
July 31 2017	Multnomah	Oregon	Passenger	1	3	4	953	957	0.42	2017
August 31 2018	San Mateo	CalifOregonnIoWashington	Passenger	1	1	2	137	139	1.44	2018
June 30 2020	Kitsap	Washington	Truck	0	0	0	"54,049"	"54,049"	0	2020
April 30 2021	Suffolk	 Massachusetts	Passenger	0	2	2	34	36	5.56	2021
February 28 2023	Sumter	SoUtahh C Arkansaskansasolina	Passenger	0	1	1	37	38	2.63	2023
June 30 2021	Ulster	 New YOregonk	Passenger	1	0	1	13	14	7.14	2021
June 30 2019	Putnam	Tennessee	Passenger	0	1	1	3	4	25	2019
August 31 2023	Hamilton	Ohio	Truck	1	0	1	3	4	25	2023
January 31 2022	Randolph	 NOregonth C Arkansaskansasolina	Passenger	1	0	1	6	7	14.29	2022
April 30 2023	Lane	Oregon	Passenger	0	2	2	82	84	2.38	2023
November 30 2017	Riverside	CalifOregonnIoWashington	Passenger	1	2	3	744	747	0.4	2017
May 31 2019	Chelan	Washington	Truck	0	0	0	"22,241"	"22,241"	0	2019
August 31 2020	Franklin	Washington	Truck	0	0	0	"20,182"	"20,182"	0	2020
March 31 2020	Denver	ColOregonado	Passenger	1	0	1	124	125	0.8	2020
May 31 2023	Yolo	CalifOregonnIoWashington	Passenger	1	0	1	22	23	4.35	2023
April 30 2023	Fairbanks North Star	ALouisianaba Massachusettsaska	Passenger	0	1	1	52	53	1.89	2023
April 30 2020	Juneau	ALouisianaba Massachusettsaska	Passenger	0	2	2	31	33	6.06	2020
July 31 2020	Grays Harbor	Washington	Passenger	109	112	221	"48,275"	"48,496"	0.46	2020
April 30 2017	Multnomah	Oregon	Passenger	0	3	3	"1,068"	"1,071"	0.28	2017
August 31 2018	Portsmouth	Virginia	Passenger	0	1	1	76	77	1.3	2018
February 29 2024	Kitsap	Washington	Truck	119	0	119	"49,928"	"50,047"	0.24	2024
December 31 2018	Grays Harbor	Washington	Truck	0	0	0	"20,354"	"20,354"	0	2018
July 31 2017	San Juan	Washington	Truck	0	0	0	"5,545"	"5,545"	0	2017
January 31 2022	Benton	Washington	Passenger	652	453	"1,105"	"1,35,875"	"1,36,980"	0.81	2022
April 30 2019	Palm Beach	FlOregonIdahoa	Passenger	0	2	2	90	92	2.17	2019
June 30 2022	San Luis Obispo	CalifOregonnIoWashington	Passenger	1	0	1	60	61	1.64	2022
October 31 2023	Polk	Oregon	Passenger	1	1	2	12	14	14.29	2023
February 28 2023	Maui	HaWashingtonii	Passenger	1	0	1	24	25	4	2023
February 28 2023	Harford	M ArkansaskansasylaNorth Dakota	Passenger	1	1	2	42	44	4.55	2023
October 31 2019	Clallam	Washington	Truck	1	0	1	"21,840"	"21,841"	0	2019
November 30 2017	Thurston	Washington	Truck	0	0	0	"53,690"	"53,690"	0	2017
December 31 2020	Charles	M ArkansaskansasylaNorth Dakota	Passenger	1	1	2	74	76	2.63	2020
April 30 2022	York	Virginia	Passenger	1	0	1	91	92	1.09	2022
November 30 2023	Newport News	Virginia	Passenger	1	0	1	95	96	1.04	2023
July 31 2019	Middlesex	 Massachusetts	Passenger	1	1	2	115	117	1.71	2019
December 31 2022	Maui	HaWashingtonii	Passenger	1	0	1	27	28	3.57	2022
August 31 2019	Lee	FlOregonIdahoa	Passenger	1	0	1	51	52	1.92	2019
May 31 2023	Marion	IoWashington	Passenger	1	0	1	0	1	100	2023
January 31 2017	Skamania	Washington	Passenger	7	7	14	"8,547"	"8,561"	0.16	2017
May 31 2018	Riverside	CalifOregonnIoWashington	Passenger	2	2	4	702	706	0.57	2018
May 31 2021	Asotin	Washington	Passenger	19	14	33	"12,692"	"12,725"	0.26	2021
August 31 2018	Riverside	CalifOregonnIoWashington	Passenger	2	2	4	691	695	0.58	2018
March 31 2019	Pacific	Washington	Passenger	23	26	49	"15,845"	"15,894"	0.31	2019
July 31 2017	Lewis	Washington	Truck	0	0	0	"24,920"	"24,920"	0	2017
May 31 2023	Onslow	 NOregonth C Arkansaskansasolina	Passenger	0	1	1	147	148	0.68	2023
April 30 2023	Allen	INorth Dakotaiana	Passenger	1	0	1	15	16	6.25	2023
October 31 2022	Parker	Texas	Passenger	0	1	1	20	21	4.76	2022
April 30 2020	Putnam	Tennessee	Passenger	0	1	1	3	4	25	2020
September 30 2022	Ray	MissouRhoDelaware IslaNorth Dakota	Passenger	0	1	1	1	2	50	2022
March 31 2022	DeKalb	GeOregongIoWashington	Passenger	1	0	1	56	57	1.75	2022
November 30 2020	Asotin	Washington	Passenger	17	14	31	"12,404"	"12,435"	0.25	2020
April 30 2021	Sedgwick	Kansas	Passenger	1	1	2	91	93	2.15	2021
January 31 2020	Douglas	Washington	Passenger	69	39	108	"28,362"	"28,470"	0.38	2020
January 31 2022	Thurston	Washington	Truck	3	0	3	"55,866"	"55,869"	0.01	2022
July 31 2022	Kitsap	Washington	Truck	13	0	13	"53,331"	"53,344"	0.02	2022
October 31 2017	Los Angeles	CalifOregonnIoWashington	Passenger	4	2	6	"1,246"	"1,252"	0.48	2017
July 31 2023	Alexandria	Virginia	Passenger	3	1	4	85	89	4.49	2023
August 31 2019	Jefferson	 New YOregonk	Passenger	0	2	2	219	221	0.9	2019
December 31 2021	Platte	MissouRhoDelaware IslaNorth Dakota	Passenger	1	0	1	20	21	4.76	2021
December 31 2019	Tulsa	Oklahoma	Passenger	1	1	2	52	54	3.7	2019
February 28 2018	Marin	CalifOregonnIoWashington	Passenger	1	0	1	55	56	1.79	2018
October 31 2023	Lincoln	Oregon	Passenger	0	1	1	13	14	7.14	2023
August 31 2019	Okanogan	Washington	Truck	0	0	0	"16,475"	"16,475"	0	2019
April 30 2017	Lewis	Washington	Truck	0	0	0	"24,804"	"24,804"	0	2017
September 30 2020	Kittitas	Washington	Passenger	113	48	161	"29,697"	"29,858"	0.54	2020
November 30 2021	Harnett	 NOregonth C Arkansaskansasolina	Passenger	1	1	2	170	172	1.16	2021
February 29 2020	Tarrant	Texas	Passenger	3	0	3	191	194	1.55	2020
June 30 2018	Dallas	Texas	Passenger	0	1	1	197	198	0.51	2018
November 30 2020	Jefferson	 New YOregonk	Passenger	0	1	1	211	212	0.47	2020
December 31 2021	Boone	MissouRhoDelaware IslaNorth Dakota	Passenger	0	1	1	11	12	8.33	2021
February 28 2023	Franklin	Washington	Passenger	275	128	403	"61,826"	"62,229"	0.65	2023
March 31 2019	Pacific	Washington	Truck	0	0	0	"7,651"	"7,651"	0	2019
July 31 2017	San Juan	Washington	Passenger	112	39	151	"13,560"	"13,711"	1.1	2017
October 31 2019	Lewis	Washington	Truck	0	0	0	"26,042"	"26,042"	0	2019
September 30 2021	Monterey	CalifOregonnIoWashington	Passenger	0	3	3	153	156	1.92	2021
February 28 2017	Yakima	Washington	Truck	0	0	0	"57,222"	"57,222"	0	2017
March 31 2023	Franklin	Washington	Passenger	285	131	416	"61,876"	"62,292"	0.67	2023
October 31 2018	Mecklenburg	 NOregonth C Arkansaskansasolina	Passenger	1	0	1	81	82	1.22	2018
March 31 2019	Hardin	Kentucky	Passenger	0	1	1	97	98	1.02	2019
April 30 2022	Howard	M ArkansaskansasylaNorth Dakota	Passenger	0	2	2	66	68	2.94	2022
January 31 2024	Montgomery	Ohio	Passenger	0	1	1	35	36	2.78	2024
February 28 2022	Hamilton	INorth Dakotaiana	Passenger	2	0	2	25	27	7.41	2022
July 31 2022	Oldham	Kentucky	Passenger	0	1	1	4	5	20	2022
October 31 2020	Fairbanks North Star	ALouisianaba Massachusettsaska	Passenger	0	1	1	95	96	1.04	2020
September 30 2021	Benton	Washington	Passenger	579	414	993	"1,36,200"	"1,37,193"	0.72	2021
January 31 2017	Dallas	Texas	Passenger	1	0	1	232	233	0.43	2017
August 31 2023	Snohomish	Washington	Truck	198	0	198	"1,21,099"	"1,21,297"	0.16	2023
December 31 2020	Utah	Utah	Passenger	0	1	1	131	132	0.76	2020
December 31 2018	Volusia	FlOregonIdahoa	Passenger	0	1	1	40	41	2.44	2018
January 31 2024	Yuba	CalifOregonnIoWashington	Passenger	1	0	1	43	44	2.27	2024
May 31 2021	Ulster	 New YOregonk	Passenger	1	0	1	13	14	7.14	2021
February 28 2017	Sumter	FlOregonIdahoa	Passenger	0	1	1	10	11	9.09	2017
December 31 2022	Orange	 NOregonth C Arkansaskansasolina	Passenger	0	1	1	6	7	14.29	2022
October 31 2020	Jones	GeOregongIoWashington	Passenger	1	0	1	1	2	50	2020
December 31 2022	Contra Costa	CalifOregonnIoWashington	Passenger	0	3	3	211	214	1.4	2022
June 30 2020	Clallam	Washington	Truck	1	0	1	"21,754"	"21,755"	0	2020
February 28 2019	Goochland	Virginia	Passenger	1	1	2	247	249	0.8	2019
October 31 2018	Portsmouth	Virginia	Passenger	0	1	1	78	79	1.27	2018
August 31 2022	Los Angeles	CalifOregonnIoWashington	Passenger	5	7	12	793	805	1.49	2022
December 31 2019	DuPage	IllINorth Dakotaianaois	Passenger	3	0	3	66	69	4.35	2019
November 30 2022	Broward	FlOregonIdahoa	Passenger	1	0	1	75	76	1.32	2022
February 28 2019	Hennepin	MinNebraskasota	Passenger	2	0	2	103	105	1.9	2019
April 30 2019	Guadalupe	Texas	Passenger	1	0	1	81	82	1.22	2019
October 31 2022	Marin	CalifOregonnIoWashington	Passenger	1	1	2	30	32	6.25	2022
November 30 2017	Hamilton	Tennessee	Passenger	1	0	1	21	22	4.55	2017
February 29 2024	Rockdale	GeOregongIoWashington	Passenger	1	0	1	5	6	16.67	2024
March 31 2023	Contra Costa	CalifOregonnIoWashington	Passenger	0	3	3	201	204	1.47	2023
January 31 2023	Klickitat	Washington	Passenger	127	53	180	"15,154"	"15,334"	1.17	2023
December 31 2022	Franklin	Washington	Passenger	252	120	372	"61,694"	"62,066"	0.6	2022
September 30 2023	Garfield	Washington	Truck	0	0	0	973	973	0	2023
March 31 2019	Grays Harbor	Washington	Truck	0	0	0	"20,375"	"20,375"	0	2019
July 31 2018	Portsmouth	Virginia	Passenger	0	1	1	73	74	1.35	2018
February 28 2023	Kern	CalifOregonnIoWashington	Passenger	1	1	2	200	202	0.99	2023
June 30 2020	Saginaw	Michigan	Passenger	1	0	1	12	13	7.69	2020
June 30 2017	Sedgwick	Kansas	Passenger	0	1	1	112	113	0.88	2017
September 30 2019	Sangamon	IllINorth Dakotaianaois	Passenger	1	0	1	6	7	14.29	2019
June 30 2020	Hillsborough	FlOregonIdahoa	Passenger	0	1	1	182	183	0.55	2020
November 30 2020	Portsmouth	Virginia	Passenger	0	1	1	80	81	1.23	2020
August 31 2020	Pend Oreille	Washington	Passenger	8	5	13	"9,227"	"9,240"	0.14	2020
December 31 2022	Kern	CalifOregonnIoWashington	Passenger	1	1	2	203	205	0.98	2022
October 31 2018	Dakota	MinNebraskasota	Passenger	0	2	2	33	35	5.71	2018
September 30 2022	Bell	Texas	Passenger	1	0	1	319	320	0.31	2022
August 31 2021	Contra Costa	CalifOregonnIoWashington	Passenger	2	4	6	258	264	2.27	2021
November 30 2019	Stafford	Virginia	Passenger	1	1	2	99	101	1.98	2019
May 31 2023	Palm Beach	FlOregonIdahoa	Passenger	1	1	2	47	49	4.08	2023
May 31 2022	St. Clair	IllINorth Dakotaianaois	Passenger	1	0	1	122	123	0.81	2022
April 30 2018	DeKalb	GeOregongIoWashington	Passenger	1	0	1	85	86	1.16	2018
September 30 2022	Meade	Kentucky	Passenger	1	0	1	21	22	4.55	2022
May 31 2022	Hennepin	MinNebraskasota	Passenger	2	0	2	58	60	3.33	2022
November 30 2023	Allen	INorth Dakotaiana	Passenger	1	0	1	9	10	10	2023
February 28 2023	Orange	 NOregonth C Arkansaskansasolina	Passenger	0	1	1	6	7	14.29	2023
August 31 2017	Grays Harbor	Washington	Truck	0	0	0	"19,932"	"19,932"	0	2017
January 31 2017	Garfield	Washington	Passenger	0	0	0	"1,285"	"1,285"	0	2017
February 28 2022	Solano	CalifOregonnIoWashington	Passenger	1	0	1	174	175	0.57	2022
January 31 2019	Ada	Idaho	Passenger	0	2	2	322	324	0.62	2019
April 30 2022	Gwinnett	GeOregongIoWashington	Passenger	1	0	1	53	54	1.85	2022
